"","county","GEOID","age_grp10","pop","pop_pct"
"284","Spokane","53063","40-49",60298,0.1171674461896
"285","Spokane","53063","50-59",64603,0.125532663209173
"286","Spokane","53063","60-69",62088,0.120645666506681
"287","Spokane","53063","70-79",35396,0.0687793778454854
"288","Spokane","53063","80+",18885,0.0366961959151314
"289","Stevens","53065","0-9",5113,0.112969509500663
"290","Stevens","53065","10-19",5567,0.123000441891295
"291","Stevens","53065","20-29",4211,0.0930402121078215
"292","Stevens","53065","30-39",4348,0.0960671674768007
"293","Stevens","53065","40-49",4921,0.108727353071144
"294","Stevens","53065","50-59",6427,0.142001767565179
"295","Stevens","53065","60-69",7922,0.175033141847106
"296","Stevens","53065","70-79",4715,0.104175872735307
"297","Stevens","53065","80+",2036,0.044984533804684
"298","Thurston","53067","0-9",34053,0.118892252259801
"299","Thurston","53067","10-19",33474,0.116870738323924
"300","Thurston","53067","20-29",37993,0.132648322911539
"301","Thurston","53067","30-39",41350,0.144368914073438
"302","Thurston","53067","40-49",35764,0.124866017966685
"303","Thurston","53067","50-59",35673,0.124548301614069
"304","Thurston","53067","60-69",36078,0.125962313952636
"305","Thurston","53067","70-79",21581,0.0753476550089205
"306","Thurston","53067","80+",10453,0.0364954838889878
"307","Wahkiakum","53069","0-9",367,0.0829191143244465
"308","Wahkiakum","53069","10-19",494,0.111613194758247
"309","Wahkiakum","53069","20-29",357,0.0806597379123362
"310","Wahkiakum","53069","30-39",350,0.079078174423859
"311","Wahkiakum","53069","40-49",420,0.0948938093086308
"312","Wahkiakum","53069","50-59",608,0.137370085856304
"313","Wahkiakum","53069","60-69",849,0.191821057388161
"314","Wahkiakum","53069","70-79",685,0.154767284229553
"315","Wahkiakum","53069","80+",296,0.0668775417984636
"316","Walla Walla","53071","0-9",6829,0.112094153179475
"317","Walla Walla","53071","10-19",8422,0.138242342667673
"318","Walla Walla","53071","20-29",9529,0.156413118413709
"319","Walla Walla","53071","30-39",7447,0.122238271888645
"320","Walla Walla","53071","40-49",6585,0.108089031876826
"321","Walla Walla","53071","50-59",7202,0.118216736154427
"322","Walla Walla","53071","60-69",7363,0.120859459636913
"323","Walla Walla","53071","70-79",4640,0.0761629624766094
"324","Walla Walla","53071","80+",2905,0.0476839237057221
"325","Whatcom","53073","0-9",24496,0.108540665086293
"326","Whatcom","53073","10-19",27050,0.119857323260296
"327","Whatcom","53073","20-29",40511,0.179502403792897
"328","Whatcom","53073","30-39",28415,0.125905576356426
"329","Whatcom","53073","40-49",25417,0.112621574318187
"330","Whatcom","53073","50-59",26368,0.116835412189556
"331","Whatcom","53073","60-69",27837,0.1233444845692
"332","Whatcom","53073","70-79",17317,0.0767308416598356
"333","Whatcom","53073","80+",8274,0.0366617187673084
"334","Whitman","53075","0-9",4211,0.0845735173023237
"335","Whitman","53075","10-19",8168,0.164045711072282
"336","Whitman","53075","20-29",16703,0.335462232130305
"337","Whitman","53075","30-39",5258,0.105601413910144
"338","Whitman","53075","40-49",4026,0.0808579863830813
"339","Whitman","53075","50-59",4108,0.0825048703580968
"340","Whitman","53075","60-69",3840,0.077122371512924
"341","Whitman","53075","70-79",2224,0.0446667068345685
"342","Whitman","53075","80+",1253,0.0251651904962744
"343","Yakima","53077","0-9",41391,0.164611884857981
"344","Yakima","53077","10-19",40134,0.159612799567303
"345","Yakima","53077","20-29",34876,0.138701749083302
"346","Yakima","53077","30-39",31296,0.124464099647638
"347","Yakima","53077","40-49",28462,0.113193290010579
"348","Yakima","53077","50-59",27763,0.11041336907328
"349","Yakima","53077","60-69",24277,0.0965495573602284
"350","Yakima","53077","70-79",14848,0.0590504521845645
"351","Yakima","53077","80+",8399,0.0334027982151237
